SIZEIS: 2048 1
9 23 26 2
2.49805 21.5 52 2
13.5 -18.5 52 2
15.4922 -8.5 71 2
0.999512 23 46 2
7.5 -5.5 55 2
2.49805 8.49219 85 2
-6 28 74 2
12.5 7.5 29 2
8.99219 -1 62 2
40.4688 17.5 45 2
-7.5 10.4922 75 2
21.4844 -1.5 91 2
-1 6.99609 121 2
13.4922 -2.5 84 2
10.9922 -14 112 2
0.0749512 0.0749512 0 4
32752 32752 -16383 2
16376 16384 24574 2
13.4922 18.5 -2 2
3.00195 -32704 32767 2
-0 0 0 2
10 5 0 2
65504 0.00390434 0 2
19 10 18 2
14.5 14.5 16 2
2.99805 9.99219 42 2
26.4844 20.5 51 2
-0.5 22.5 87 2
-16296 16352 8244 2
-2 18.9844 104 2
24.5 -24.4844 16431 2
9.99219 -10 122 2
-5.5 24.5 95 2
-1 10.9922 95 2
4.5 4.5 136 2
-10.5 16.4844 138 2
16352 -16352 8239 2
-16312 -16352 24599 2
-3 18.9844 69 2
13.4922 3.49805 71 2
11 -13 128 2
12.4922 3.49805 144 2
10 -9 115 2
18.4844 -20.5 145 2
11.4922 -11.5 79 2
14.4922 1.49902 102 2
-2.86102e-06 18 71 2
10.9922 -13 92 2
4.99609 5.99609 118 2
0.999512 13.9922 124 2
14.4922 -5.5 112 2
13.9922 -1 134 2
-5 21 112 2
-6.5 15.5 95 2
7.5 -9.5 133 2
-4 12.9922 131 2
7.5 -2.49805 114 2
11.9922 -4 138 2
-11 15 117 2
19.4844 0.499756 122 2
4.49609 21.4844 125 2
12.9922 20.9844 140 2
8.99219 0.999512 158 2
14.5 1.5 178 2
7.49609 24.4844 167 2
-1 10.9922 185 2
14.9922 4.99609 209 2
-2.5 24.4844 223 2
12.4922 6.49609 161 2
11 8 183 2
12.4922 -12.5 168 2
16.4844 -12.5 189 2
17.9844 3.99805 210 2
18.4844 3.49805 243 2
15.4922 -9.5 222 2
2.99805 -18 251 2
16 -2.99805 104 2
11.9922 -5 140 2
-9 9.99219 119 2
15.9922 -12 128 2
-16.5 10.5 150 2
9.49219 7.49609 127 2
17.5 -10.5 151 2
11.4922 20.4844 177 2
-5 21 150 2
-10.5 19.4844 134 2
8 -11 168 2
-5 8 172 2
32624 3 143 2
-0 0 -32767 2
16296 -16296 8311 2
-4 -32608 -32765 2
8.5 -0.499756 139 2
16.4844 -8.5 157 2
